"Date","IPOName","LotSize","IssueSize(Crores)","ListingDate","IssuePrice","ListingOpen","ListClose","ListingGains(%)","CMP","CurrentGains(%)"
"31-Mar","Oceanic Foods","","0","31-Mar","65.00","65.00","65.20","0.31","106.40","63.69"
"28-Mar","Chemcrux Enterp","8000","2.4","28-Mar","18.00","21.60","21.60","20","35.50","97.22"
"27-Mar","Jash Dealmark","3000","5.4","27-Mar","40.00","39.80","38.05","-4.88","39.00","-2.50"
"01-Jul","Yash Chemex","6000","2.51","01-Jul","0.00","0.00","25.10","0","75.05",""
"01-Jun","Darshan Orna","2000","7.54","01-Jun","0.00","0.00","61.00","0","60.00",""
"05-May","Ghushine Fintrr","10000","2.6","05-May","10.00","9.00","8.00","-20","11.21","12.10"
"14-Jan","Osiajee","6000","4.26","14-Jan","25.00","26.75","27.35","9.4","12.00","-52.00"
"27-Oct","Tejnaksh","1600","2.43","27-Oct","80.00","80.00","38.00","-52.5","330.75","313.44"
"19-Oct","Arambhan","10000","1.86","19-Oct","14.00","15.25","16.01","14.36","36.30","159.29"
"16-Oct","Vaksons Auto","4000","6.24","16-Oct","26.00","26.25","27.00","3.85","24.00","-7.69"
"16-Oct","Patdiam Jewel","3000","5","16-Oct","38.00","43.00","45.15","18.82","107.30","182.37"
"15-Oct","Bella Casa","10000","3.43","15-Oct","14.00","14.30","14.70","5","131.00","835.71"
"15-Oct","Vishal Bearing","6000","3.24","15-Oct","25.00","26.00","21.84","-12.64","30.55","22.20"
"14-Sep","H K Trade Intl","8000","2.29","14-Sep","18.00","18.45","18.30","1.67","16.40","-8.89"
"04-Sep","Universal Auto","120000","3.24","04-Sep","15.00","16.00","16.00","6.67","69.10","360.67"
"02-Sep","Oyeeee Media","3000","15.9","02-Sep","40.00","45.00","45.00","12.5","31.85","-20.38"
"12-Aug","Mangalam Seeds","3000","5.7","12-Aug","50.00","57.75","57.75","15.5","187.95","275.90"
"11-Aug","Pecos Hotels","","2.3","11-Aug","50.00","53.25","53.25","6.5","105.00","110.00"
"05-Aug","Amrapali Fincap","120","42.48","05-Aug","120.00","122.30","121.00","0.83","73.50","-38.75"
