"rank","title","ratings","duration","genre","description","directors"
1,"Trolls",6.5,"92 min","Animation, Adventure, Comedy","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.","Anna Kendrick"
2,"The Belko Experiment",6.1,"89 min","Action, Horror, Thriller","In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.","John Gallagher Jr."
3,"Suicide Squad",6.2,"123 min","Action, Adventure, Fantasy","A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","Will Smith"
4,"A Cure for Wellness",6.5,"146 min","Drama, Fantasy, Horror","An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.","Dane DeHaan"
5,"The Accountant",7.4,"128 min","Action, Crime, Drama","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.","Ben Affleck"
6,"Split",7.3,"117 min","Horror, Thriller","Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.","James McAvoy"
7,"Sing",7.2,"108 min","Animation, Comedy, Family","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.","Matthew McConaughey"
8,"Batman v Superman: Dawn of Justice",6.7,"151 min","Action, Adventure, Sci-Fi","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","Ben Affleck"
9,"Miss Peregrine's Home for Peculiar Children",6.7,"127 min","Adventure, Drama, Family","When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.","Eva Green"
10,"Doctor Strange",7.6,"115 min","Action, Adventure, Fantasy","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","Benedict Cumberbatch"
